sub_section	preamble	question	unit	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	Change_log
Pre-processing general	In this section, we will ask you about preprocessing decisions, such as analysis software, off-line filtering, re-referencing, artefact removal, epoching and baseline.  NOTE: If you notice a bug, or have a suggestion, we'd be grateful if you posted an issue on GitHub: https://github.com/INCF/artem-is/	Was the same software used for all pre-processing steps?		Preprocessing steps are fitlering, downsampling, re-referencing, artifact removal, epoching and baseline correction, and other up to the point of data collection. If you select YES here, you will be asked to provide the software information now, and if you select NO, you will be asked to specify software when describing each preprocessing step separately.	radio	preset:boolean	same_software	1	1	1	1	Preprocessing	5
Pre-processing general		Which software was used for pre-processing?			select	preset:meeg_analysis_softwares	preprocessing_software	same_software == 1	2	1	1	Preprocessing	5
Pre-processing general		Specify software version if applicable, script language if "custom script" was selected, and software name and version if "other" was selected.			text		preprocessing_software_details	same_software == 1	3	1	1	Preprocessing	5
Pre-processing automated pipelines		Was an automated pre-processing pipeline which executes more preprocessing steps (e.g., not only artifact removal) used?		For example, this automated pipeline may also include filtering, baseline correction, or re-referencing.	radio	preset:boolean	preprocessing_pipeline	1	4	1	1	Preprocessing	5
Pre-processing automated pipelines		Which automated pre-processing pipeline was used?			select	PREP (Bigdely-Shamlo et al., 2015) | HAPPE (Gabard-Durnam et al., 2018) | HAPPE+ER (Monachino et al., 2021) | EPOS (Rodrigues et al., 2021) | other	preprocessing_pipeline_which	preprocessing_pipeline == 1	5	1	1	Preprocessing	5
Pre-processing automated pipelines		Automated pre-processing pipeline that was used, other than listed			text		preprocessing_pipeline_other	preprocessing_pipeline_which == 4	6	1	1	Preprocessing	5
Pre-processing automated pipelines		Reference for the automated pre-processing pipeline that was used			text		preprocessing_pipeline_reference	preprocessing_pipeline == 1	7	1	1	Preprocessing	5
Pre-processing automated pipelines		Version of the automated pre-processing pipeline, if applicable			text		preprocessing_pipeline_version	preprocessing_pipeline == 1	8	1	1	Preprocessing	5
Pre-processing automated pipelines		Describe parameters and settings that were used to run this automated pipeline, if applicable, and any potential adjustments to the pipeline that may have been made manually.			textarea		preprocessing_pipeline_parameters	preprocessing_pipeline == 1	9	1	1	Preprocessing	5
Offline filters		Were any offline (digital) filters applied?		This does not include filtering within automated pipelines, if you had applied any, or filtering only for visualization, and not analysis purposes.	radio	preset:boolean	offline_filters	1	10	1	1	Preprocessing	5
Offline filters		Which offline filters were applied?			radio_multiple	high pass | low pass | notch	which_filters	offline_filters == 1	11	1	1	Preprocessing	5
Offline filters		Which software was used for implementing offline filters on EEG data?			select	preset:meeg_analysis_softwares	filtering_software	!which_filters.includes(3) && same_software == 0	12	1	1	Preprocessing	5
Offline filters		Specify software version if applicable, script language if "custom script" was selected, and software name and version if "other" was selected.			text		filter_software_details	!which_filters.includes(3) &&  same_software == 0	13	1	1	Preprocessing	5
Offline filters		What kind of impulse rate did the high-pass filter have?			radio	FIR (finite) | IIR (infinite)	offline_highpass_filter_impulse	which_filters.includes(0)	14	1	1	Preprocessing	5
Offline filters		What family of filters did the high-pass filter belong to?			radio	Boxcar | Butterworth | Elliptic | Chebyshev | other	offline_highpass_filter_family	which_filters.includes(0)	15	1	1	Preprocessing	5
Offline filters		Family of filters of the high-pass filter (other than listed above)			text		offline_highpass_filter_family_other	offline_highpass_filter_family == 4	16	1	1	Preprocessing	5
Offline filters		What was the order of the high-pass filter?			integer		offline_highpass_filter_order	which_filters.includes(0)	17	1	1	Preprocessing	5
Offline filters		Type of high-pass filter cut-off			radio	half-power | half-amplitude	offline_highpass_filter_unit	which_filters.includes(0)	18	1	1	Preprocessing	5
Offline filters		Offline high-pass filter cut-off	Hz		float		offline_highpass_filter_cutoff	which_filters.includes(0)	19	1	1	Preprocessing	5
Offline filters		Offline high-pass filter roll off	dB/octave		float		offline_highpass_filter_rolloff	which_filters.includes(0)	20	1	1	Preprocessing	5
Offline filters		Do you want to report any additional properties of the high-pass filter?		The properties listed above are the minumum required by recommendations for good practice by Keil et al. (2014), but providing additional information may help other researchers reproduce your filters if you know them.	radio	preset:boolean	offline_highpass_filter_additional_exists	which_filters.includes(0)	21	1	1	Preprocessing	5	27.11.2023 Angela: added this question in order to make it possible to remove "none of the above" option in the following question
Offline filters		Do you want to report any of these other additional offline high-pass filter properties?		These properties are not required by recommendations for good practice by Keil et al. (2014), but they may help other researchers reproduce your filters if you know them.	radio_multiple	attenuation in the stopband | transition bandwidth | passband ripple | filter direction | filter delay | other	offline_highpass_filter_additional	which_filters.includes(0) && offline_highpass_filter_additional_exists == 1	22	1	1	Preprocessing	5	25.08.2023 Angela: help instructions updated  27.11.2023 Angela: removed option "none of the above" to add the boolean question preceding this question instead, in order to make "other" the last option in the question. This has been done in order to give "other" the 999 code and not mess up options order in the process.
Offline filters		Attenuation achieved in the stopband after offline high-pass filtering	dB		float		offline_highpass_filter_attenuation	offline_highpass_filter_additional.includes(0)	23	1	1	Preprocessing	5
Offline filters		Offline high-pass filter transition bandwidth	Hz		float		offline_highpass_filter_transition	offline_highpass_filter_additional.includes(1)	24	1	1	Preprocessing	5
Offline filters		Offline high-pass filter passband ripple	dB		float		offline_highpass_filter_ripple	offline_highpass_filter_additional.includes(2)	25	1	1	Preprocessing	5
Offline filters		Direction of the offline high-pass filter			radio	forwards | backwards | forwards and backwards	offline_highpass_filter_direction	offline_highpass_filter_additional.includes(3)	26	1	1	Preprocessing	5
Offline filters		Offline high-pass filter delay			radio	zero-phase | linear phase | non-linear phase	offline_highpass_filter_delay	offline_highpass_filter_additional.includes(4)	27	1	1	Preprocessing	5
Offline filters		Describe offline high-pass filter properties other than properties offered above.			textarea		offline_highpass_filter_other	offline_highpass_filter_additional.includes(5)	28	1	1	Preprocessing	5
Offline filters		What kind of impulse rate did the low-pass filter have?			radio	FIR (finite) | IIR (infinite)	offline_lowpass_filter_impulse	which_filters.includes(1)	29	1	1	Preprocessing	5
Offline filters		What family of filters did the low-pass filter belong to?			radio	Boxcar | Butterworth | Elliptic | Chebyshev | other	offline_lowpass_filter_family	which_filters.includes(1)	30	1	1	Preprocessing	5
Offline filters		Family of filters of the low-pass filter (other than listed above)			text		offline_lowpass_filter_family_other	offline_lowpass_filter_family == 4	31	1	1	Preprocessing	5
Offline filters		What was the order of the low-pass filter?			integer		offline_lowpass_filter_order	which_filters.includes(1)	32	1	1	Preprocessing	5
Offline filters		Type of low-pass filter cut-off			radio	half-power | half-amplitude	offline_lowpass_filter_unit	which_filters.includes(1)	33	1	1	Preprocessing	5
Offline filters		Offline low-pass filter cut-off	Hz		float		offline_lowpass_filter_cutoff	which_filters.includes(1)	34	1	1	Preprocessing	5
Offline filters		Offline low-pass filter roll off	dB/octave		float		offline_lowpass_filter_rolloff	which_filters.includes(1)	35	1	1	Preprocessing	5
Offline filters		Do you want to report any additional properties of the low-pass filter?		The properties listed above are the minumum required by recommendations for good practice by Keil et al. (2014), but providing additional information may help other researchers reproduce your filters if you know them.	radio	preset:boolean	offline_lowpass_filter_additional_exists	which_filters.includes(1)	36	1	1	Preprocessing	5	27.11.2023 Angela: added this question in order to make it possible to remove "none of the above" option in the following question
Offline filters		Do you want to report any of these other additional offline low-pass filter properties?		These properties are not required by recommendations for good practice by Keil et al. (2014), but they may help other researchers reproduce your filters if you know them. Select "none of the above" to mark this question as answered if you do not wish to add anything.	radio_multiple	attenuation in the stopband | transition bandwidth | passband ripple | filter direction | filter delay | other	offline_lowpass_filter_additional	which_filters.includes(1) && offline_lowpass_filter_additional_exists == 1	37	1	1	Preprocessing	5	25.08.2023 Angela: help instructions updated  27.11.2023 Angela: removed option "none of the above" to add the boolean question preceding this question instead, in order to make "other" the last option in the question. This has been done in order to give "other" the 999 code and not mess up options order in the process.
Offline filters		Attenuation achieved in the stopband after offline low-pass filtering	dB		float		offline_lowpass_filter_attenuation	offline_lowpass_filter_additional.includes(0)	38	1	1	Preprocessing	5
Offline filters		Offline low-pass filter transition bandwidth	Hz		float		offline_lowpass_filter_transition	offline_lowpass_filter_additional.includes(1)	39	1	1	Preprocessing	5
Offline filters		Offline low-pass filter passband ripple	dB		float		offline_lowpass_filter_ripple	offline_lowpass_filter_additional.includes(2)	40	1	1	Preprocessing	5
Offline filters		Direction of the offline low-pass filter			radio	forwards | backwards | forwards and backwards	offline_lowpass_filter_direction	offline_lowpass_filter_additional.includes(3)	41	1	1	Preprocessing	5
Offline filters		Offline low-pass filter delay			radio	zero-phase | linear phase | non-linear phase	offline_lowpass_filter_delay	offline_lowpass_filter_additional.includes(4)	42	1	1	Preprocessing	5
Offline filters		Describe offline low-pass filter properties other than properties offered above.			textarea		offline_lowpass_filter_other	offline_lowpass_filter_additional.includes(5)	43	1	1	Preprocessing	5
Offline filters		What notch filter was applied offline, after the recording?			radio	50 Hz | 60 Hz | other	offline_notch_filter_type	which_filters.includes(2)	44	1	1	Preprocessing	5
Offline filters		Center frequency of the offline notch filter	Hz		text		offline_notch_filter_type_details	offline_notch_filter_type == 2	45	1	1	Preprocessing	5
Offline filters		In which format do you want to report the width of the offline notch filter?			radio	distance between 3 dB points | number of removed frequencies in a decrete Fourier transform	offline_notch_filter_width	which_filters.includes(2)	46	1	1	Preprocessing	5
Offline filters		Distance between 3 dB points	Hz		float		offline_notch_filter_width_distance	offline_notch_filter_width == 0	47	1	1	Preprocessing	5
Offline filters		Number of removed frequencies in a descrete Fourier transform			float		offline_notch_filter_width_number_frequencies	offline_notch_filter_width == 1	48	1	1	Preprocessing	5
Offline filters		Were any harmonics also removed by the offline notch filter?			radio	preset:boolean	offline_notch_filter_harmonics	which_filters.includes(2)	49	1	1	Preprocessing	5
Offline filters		Which harmonics were removed by the offline notch filter? List center frequencies separated by a semicolon and a space			text		offline_notch_filter_harmonics_which	offline_notch_filter_harmonics == 1	50	1	1	Preprocessing	5
Downsampling		Was data downsampled?			radio	preset:boolean	downsample_data	1	51	1	1	Preprocessing	5
Downsampling		What software was used for downsampling?			select	preset:meeg_analysis_softwares	downsample_software	downsample_data == 1 && same_software == 0	52	1	1	Preprocessing	5
Downsampling		Specify software version if applicable, script language if "custom script" was selected and software name and version if "other" was selected.			text		downsample_software_details	downsample_data == 1 && same_software == 0	53	1	1	Preprocessing	5
Downsampling		If yes, what was the new sampling frequency?	Hz		float		new_sampling_frequency	downsample_data == 1	54	1	1	Preprocessing	5
Re-referencing		Was data recorded from EEG electrodes re-referenced offline (after recording)?		This does not include re-referencing within automated pipelines, if you had applied any.	radio	preset:boolean	offline_reference	1	55	1	1	Preprocessing	5
Re-referencing		Which analysis software was used for re-referencing on EEG data?			select	preset:meeg_analysis_softwares	rereference_software	offline_reference == 1 && same_software == 0	56	1	1	Preprocessing	5
Re-referencing		Specify software version if applicable, script language if "custom script" was selected, and software name and version if "other" was selected.			text		rereference_software_details	offline_reference == 1 && same_software == 0	57	1	1	Preprocessing	5
Re-referencing		What was the new reference?		EEG electrodes include cap electrodes, mastoids and/or earlobes, except for ground electrode.	radio	average mastoids | average earlobes | average of all EEG locations | reference electrode standardization technique (REST, Yao, 2001) | Cz | other	new_reference	offline_reference == 1	58	1	1	Preprocessing	5
Re-referencing		New reference other than listed			text		new_reference_other	new_reference == 5	59	1	1	Preprocessing	5
Re-referencing		Was VEOG data re-referenced offline (after recording)?		This does not include re-referencing within automated pipelines, if you had applied any.	radio	preset:boolean	offline_reference_VEOG	1	60	1	1	Preprocessing	5
Re-referencing		What was the new VEOG reference?			radio	bipolar (lower - upper VEOG) | the same reference as EEG electrodes | other | VEOG was not recorded	new_reference_VEOG	offline_reference_VEOG == 1	61	1	1	Preprocessing	5
Re-referencing		Which other reference was VEOG data re-referenced to?			text		new_reference_VEOG_other	new_reference_VEOG == 2	62	1	1	Preprocessing	5
Re-referencing		Was HEOG data re-referenced offline (after recording)?		This does not include re-referencing within automated pipelines, if you had applied any.	radio	preset:boolean	offline_reference_HEOG	1	63	1	1	Preprocessing	5
Re-referencing		What was the new HEOG reference?			radio	bipolar (left - right HEOG) | bipolar (right - left HEOG) | the same reference as EEG electrodes | other | HEOG was not recorded	new_reference_HEOG	offline_reference_HEOG == 1	64	1	1	Preprocessing	5
Re-referencing		Which other reference was HEOG data re-referenced to?			text		new_reference_HEOG_other	new_reference_HEOG == 3	65	1	1	Preprocessing	5
