activity_pref_label			item	item_pref_label	item_order	include	mandatory	visibility	question	details	field_type	choices
Statistical analysis	ROIs	How were these were determined, i.e. what was the mode of selection (e.g., a priori from literature or independent data)?	how_were_these_were_determined,_i.e._what_was_the_mode_of_selection_(e.g.,_a_priori_from_literature_or_independent_data)?	how_were_these_were_determined,_i.e._what_was_the_mode_of_selection_(e.g.,_a_priori_from_literature_or_independent_data)?	1	1			Does the paper specify how ROIs were determined, i.e. what was the mode of selection (e.g., a priori from literature or independent data)?
Statistical analysis	ROIs	Report specific sensors/regions of interest, peaks, components, time and/or frequency window, source	report_specific_sensors/regions_of_interest,_peaks,_components,_time_and/or_frequency_window,_source	report_specific_sensors/regions_of_interest,_peaks,_components,_time_and/or_frequency_window,_source	2	1			Does the paper specify the specific sensors/regions, peaks, components, time and/or frequency window, source  of interest?
Statistical analysis	Summary measures	Report how these were obtained	report_how_these_were_obtained	report_how_these_were_obtained	3	1			Does the paper report how summary measures were obtained?
Statistical analysis	Summary measures	Justify how the selection of dependent variables is unbiased (especially how the temporal and spatial ROIs were chosen)	justify_how_the_selection_of_dependent_variables_is_unbiased_(especially_how_the_temporal_and_spatial_rois_were_chosen)	justify_how_the_selection_of_dependent_variables_is_unbiased_(especially_how_the_temporal_and_spatial_rois_were_chosen)	4	1			Does the paper justify how the selection of dependent variables was unbiased (especially how the temporal and spatial ROIs were chosen)?
Statistical analysis	Summary measures	Specify how peaks, components, latencies were measured	specify_how_peaks,_components,_latencies_were_measured	specify_how_peaks,_components,_latencies_were_measured	5	1			Does the paper specify how peaks, components, latencies were measured?
Statistical analysis	Statistical analysis/modeling	Software and version used, and analysis platform	software_and_version_used,_and_analysis_platform	software_and_version_used,_and_analysis_platform	6	1			Does the paper specify the software and version used, and analysis platform?
Statistical analysis	Statistical analysis/modeling	Report model used including all regressors (and covariates of no interest)	report_model_used_including_all_regressors_(and_covariates_of_no_interest)	report_model_used_including_all_regressors_(and_covariates_of_no_interest)	7	1			(For statistical analysis/modeling) Does the paper specify the model used including all regressors (and covariates of no interest)?
Statistical analysis	Statistical analysis/modeling	Check and report statistical assumptions (e.g., normality, sphericity)	check_and_report_statistical_assumptions_(e.g.,_normality,_sphericity)	check_and_report_statistical_assumptions_(e.g.,_normality,_sphericity)	8	1			(For statistical analysis/modeling) Does the paper check and report statistical assumptions (e.g., normality, sphericity)?
Statistical analysis	Statistical analysis/modeling	Provide model details when complex designed are used	provide_model_details_when_complex_designed_are_used	provide_model_details_when_complex_designed_are_used	9	1			(For statistical anlaysis/modeling) Does the paper provide model details when complex designed are used?
Statistical analysis	Statistical analysis/modeling	Provide details on classification method and validation procedure	provide_details_on_classification_method_and_validation_procedure	provide_details_on_classification_method_and_validation_procedure	10	1			(For modeling) Does the paper provide details on classification method and validation procedure?
Statistical analysis	Statistical analysis/modeling	Note method used for multiple comparisons correction and chosen level of statistical significance	note_method_used_for_multiple_comparisons_correction_and_chosen_level_of_statistical_significance	note_method_used_for_multiple_comparisons_correction_and_chosen_level_of_statistical_significance	11	1			Does the paper provide details on the method used for multiple comparisons correction and chosen level of statistical significance?
Statistical analysis	Statistical analysis/modeling	Report classifier used, the distance metric used and the parameters	report_classifier_used,_the_distance_metric_used_and_the_parameters	report_classifier_used,_the_distance_metric_used_and_the_parameters	12	1			Does the paper report classifier used, the distance metric used and the parameters?
Statistical analysis	Statistical analysis/modeling	How was chance level determined	how_was_chance_level_determined	how_was_chance_level_determined	13	1			Does the paper specify wow the chance level was determined?
Statistical analysis	Statistical analysis/modeling	Detail cross-validation scheme	detail_cross-validation_scheme	detail_cross-validation_scheme	14	1			(For statistical analysis/modeling) Does the paper provide details on the cross-validation scheme?
Statistical analysis	Source modeling	Indicate quality of the model (goodness of fit, percentage of variance explained, residual mean squares)	indicate_quality_of_the_model_(goodness_of_fit,_percentage_of_variance_explained,_residual_mean_squares)	indicate_quality_of_the_model_(goodness_of_fit,_percentage_of_variance_explained,_residual_mean_squares)	15	1			(For source modeling) Does the paper provide measures on the quality of the model (goodness of fit, percentage of variance explained, residual mean squares)?
Statistical analysis	Source modeling	Report spatial uncertainty for dipolar sources	report_spatial_uncertainty_for_dipolar_sources	report_spatial_uncertainty_for_dipolar_sources	16	1			(For source modeling) Does the paper report spatial uncertainty for dipolar sources?
Statistical analysis	Connectivity	Sensor or source space	sensor_or_source_space	sensor_or_source_space	17	1			(For connectivity analyses) Does the paper define whether sensor or source space was used for connectivity analyses?
Statistical analysis	Connectivity	Software and version, and analysis platform	software_and_version,_and_analysis_platform	software_and_version,_and_analysis_platform	18	1			(For connectivity analyses) Does the paper specify the software, version, and analysis platform used for the analyses?
Statistical analysis	Connectivity	Domain, type of connectivity and measure(s) used	domain,_type_of_connectivity_and_measure(s)_used	domain,_type_of_connectivity_and_measure(s)_used	19	1			(For connectivity analyses) Does the paper specify the domain, type of connectivity and measure(s) used?
Statistical analysis	Connectivity	Definitions of nodes/regions of interest	definitions_of_nodes/regions_of_interest	definitions_of_nodes/regions_of_interest	20	1			(For connectivity analyses) Does the paper provide definitions of nodes/regions of interest
Statistical analysis	DCM	Specify type of neuronal model	specify_type_of_neuronal_model	specify_type_of_neuronal_model	21	1			(For DCM) Does the paper specify the type of neuronal model used?
Statistical analysis	DCM	Ensure fit of model to data before comparing different models	ensure_fit_of_model_to_data_before_comparing_different_models	ensure_fit_of_model_to_data_before_comparing_different_models	22	1			(For DCM) Does the paper ensure the fit of the model to data before comparing models?
Statistical analysis	DCM	Describe modulatory effects, confounds and mitigating procedures	describe_modulatory_effects,_confounds_and_mitigating_procedures	describe_modulatory_effects,_confounds_and_mitigating_procedures	23	1			(For DCM) Does the paper describe modulatory effects, confounds and mitigating procedures in sufficient detail?
Statistical analysis	DCM	Define all connectivity architectures tested and connectivity matrices present and modulated	define_all_connectivity_architectures_tested_and_connectivity_matrices_present_and_modulated	define_all_connectivity_architectures_tested_and_connectivity_matrices_present_and_modulated	24	1			(For DCM) Does the paper define all connectivity architectures tested and connectivity matrices present and modulated?
Statistical analysis	DCM	Describe statistics used for model/family inference (Random vs. Fixed effects) and parameter inference (Frequentist vs. Bayesian)	describe_statistics_used_for_model/family_inference_(random_vs._fixed_effects)_and_parameter_inference_(frequentist_vs._bayesian)	describe_statistics_used_for_model/family_inference_(random_vs._fixed_effects)_and_parameter_inference_(frequentist_vs._bayesian)	25	1			(For DCM) Does the paper describe the statistics used for model/family inference (Random vs. Fixed effects) and parameter inference (Frequentist vs. Bayesian)?
