activity_pref_label				item	item_order	include	visibility	mandatory	question	SRquestion (y/n)	details	field_type	choices
Acquisition	Device	MEEG manufacturer, model, sensor specification		meeg_manufacturer,_model,_sensor_specification	1	1				Does the paper specify the MEEG manufacturer, model, and sensor type?
Acquisition	Device	Details on additional devices used (manufacturer and make) for additional measures (behaviour or other)		details_on_additional_devices_used_(manufacturer_and_make)_for_additional_measures_(behaviour_or_other)	2	1				Does the paper give sufficient details on additional devices used to acquire outcome measures
Acquisition	Sensor type and spatial layout	MEG	Planar/axial gradiometers and/or magnetometers	planar/axial_gradiometers_and/or_magnetometers	3	1				(MEG) Does the paper specify the sensor type (Planar/axial gradiometers and/or magnetometers)?
Acquisition	Sensor type and spatial layout	MEG	Spatial layout	spatial_layout	4	1				(MEG) Does the paper specify the spatial layout of the sensors?
Acquisition	Sensor type and spatial layout	Electrodes for EEG, EOG, ECG, EMG, skin conductance	Electrode material	electrode_material	5	1				Does thes paper specify the electrode material used for EEG, EOG, ECG, EMG, or skin conductance?
Acquisition	Sensor type and spatial layout	Electrodes for EEG, EOG, ECG, EMG, skin conductance	Passive/active	passive/active	6	1				Does the paper specify whether electrodes were passive or active?
Acquisition	Sensor type and spatial layout	Electrodes for EEG, EOG, ECG, EMG, skin conductance	Other	other	7	1				-
Acquisition	Sensor type and spatial layout	EEG spatial layout: 10-20, 10-10 system, Geodesic, other. If not conventional, show map of electrode positions		eeg_spatial_layout:_10-20,_10-10_system,_geodesic,_other._if_not_conventional,_show_map_of_electrode_positions	8	1				(EEG) Does the paper specify the spatial layout of the electrodes?
Acquisition	Participant preparation and test room	Ambient characteristics		ambient_characteristics	9	1				Does the paper describe ambient (noise) characteristics sufficiently?
Acquisition	Participant preparation and test room	For MEG, empty room recorded?		for_meg,_empty_room_recorded?	10	1				(MEG) Does the paper report whether 'empty room' recordings were performed / Does the paper report 'empty room' recordings?
Acquisition	Participant preparation and test room	For EEG, recording room shielded?		for_eeg,_recording_room_shielded?	11	1				(EEG) Does the paper report whether the recording room was shielded?
Acquisition	Participant preparation and test room	Participant preparation	EEG: skin preparation prior to electrode application	eeg:_skin_preparation_prior_to_electrode_application	12	1				Does the paper describe how the skin was prepared before electrode application?
Acquisition	Participant preparation and test room	Participant preparation	EEG: electrode application	eeg:_electrode_application	13	1				Does the paper describe how electrodes were applied?
Acquisition	Participant preparation and test room	Participant preparation	MEG: participant degaussing	meg:_participant_degaussing	14	1				(MEG) Does the paper specify whether participants were degaussed?
Acquisition	Participant preparation and test room	Participant preparation	MEG: special clothing	meg:_special_clothing	15	1				(MEG) Does the paper specify whether participants wore special clothes for the recording?
Acquisition	Participant preparation and test room	Participant preparation	Other	other	16	1				-
Acquisition	Impedance measurement			impedance_measurement	17	1				Does the paper report impedances for EEG/EOG/ECG/EMG electrodes?	Report impedances for EEG/EOG/ECG/ EMG electrodes, preferably digitally storing them to the datafile
