question	unit	details	field_type	choices	item	item_pref_label	item_order	visibility	include	mandatory	activity_order	activity_pref_label				neurovault_or_carp	in_Carp_2012	percent_carp_2012	neurovault	bids_status	bids_key	use_case_meta-analysis	meta-analysis_comment	preamble
What type of design was used?			radio	block design | event related design | mixed	design_type	design_type	1	1	1	1	1	Behavior	Design specifications	Design type		1	destype	83.2	type_of_design	2				describe your behavioral design
Clearly describe each condition and the stimuli used.		Be sure to completely describe baseline (for example, blank white/black screen, presence of fixation cross, or any other text), especially for resting ­state studies. When possible provide images or screen snapshots of the stimuli	textarea		condition_and_stimuli	condition_and_stimuli	2	1	1	1	1	Behavior	Design specifications	Condition and stimuli		0						yes	RELEVANT TO DESCRIBE THE INCLUDED STUDIES
Number of trials/blocks per run per condition		Specify per run, and if differing by subject, specify summary statistics (mean, range and/or standard deviation) of such counts	integer		number_experimental_units	number_experimental_units	3	1	1	1	1	Behavior	Design specifications	Number experimental units		1	ntrials	50	number_of_experimental_units	1
What was the duration of one block?	seconds		float		block_duration	block_duration	4	1	1	1	1	Behavior	Timing and duration	Block duration		1	blocklength	55	length_of_blocks	1
What was the duration of one trial?	seconds		float		trial_duration	trial_duration	5	1	1	1	1	Behavior	Timing and duration	Trial duration		1	trialdur	60	length_of_trials	1
Provide the timing structure of the events in the task.		Whether a random / jittered pattern or a regular arrangement; any jittering of block onsets.	textarea		intertrial_interval_type	intertrial_interval_type	6	1	1	1	1	Behavior	Timing and duration	Intertrial interval type		1	ititype	65		3
What was the intertrial interval range?			textarea		intertrial_interval_range	intertrial_interval_range	7	1	1	0	1	Behavior	Timing and duration	Intertrial interval range		1	itirange	60
What was the intertrial interval distribution?			textarea		intertrial_interval_distribution	intertrial_interval_distribution	8	1	1	0	1	Behavior	Timing and duration	Intertrial interval distribution		1	itidist	5
How many runs were used?			integer		number_of_functional_runs	number_of_functional_runs	9	1	1	1	1	Behavior	Timing and duration	number of functional runs		1	nruns	65	number_of_imaging_runs	1
What was the duration of each imaging run?	seconds | minutes		float		duration_of_each_run	duration_of_each_run	10	1	1	1	1	Behavior	Timing and duration	duration of each run		1			length_of_runs	1
What was the software used for stimuli presentation?			select	preset:stimulus_presentation_softwares	presentation_software_name	presentation_software_name	11	1	1	1	1	Behavior	Presentation software	presentation software name		1	taskprog	40		3		yes	FOR DESCRIPTION
What was the software version used for stimuli presentation?			textarea		presentation_software_version	presentation_software_version	12	1	1	1	1	Behavior	Presentation software	presentation software version		0				3
What operating system was used to present the stimuli?			radio	preset:operating_systems	operating_system	operating_system	13	1	1	1	1	Behavior	Presentation software	operating system		0				3
Specify the URL of the experiment code.			textarea		url_to_code	url_to_code	14	1	1	1	1	Behavior	Presentation software	URL to code		0				3
Specify the instructions given to subjects for each condition		Ideally copy the exact text. For resting ­state, be sure to indicate eyes­ closed, eyes­ open, any fixation. Describe if the subjects received any rewards during the task.	textarea		instructions	instructions	15	1	1	1	1	Behavior	Task specification	Instructions		0				2		yes	FOR INCLUSION CRITERIA
Specifics of stimuli used in each run.		 For example, the unique number of stimuli used, and whether/how stimuli were repeated over trials or conditions	textarea		stimuli	stimuli	16	1	1	1	1	Behavior	Task specification	Stimuli		0				2		yes	FOR INCLUSION CRITERIA
Was the block or event ordering deterministic or randomized? 			radio	deterministic | random | pseudorandom	randomization	randomization	17	1	1	1	1	Behavior	Task specification	Randomization		0				3
Describe how and the criteria used to constrain the orders/timings			textarea		pseudo-random	pseudo-random	18	randomization==2	1	1	1	Behavior	Task specification	Randomization	pseudo-random	0
Order in which tasks / runs are conducted 			textarea		run_order	run_order	19	1	1	1	1	Behavior	Task specification	Run order		0				2
Was the order of the stimuli counterbalanced (across runs, across participants)?			textarea		counterbalance	counterbalance	20	1	1	1	1	Behavior	Counterbalance			0
How were responses collected?			radio	motor response (button boxes) |  motor response (other) |  other	response_collection	response_collection	21	1	1	1	1	Behavior	Task specification	Response collection		0				3
URL of stimuli database			textarea		stimuli_database	stimuli_database	22	1	1	1	1	Behavior	Stimuli database			0
Calibration procedure		Including software (type, version and operating system) and hardware used, should also be described. Where relevant, the rationale for selecting a specific parameter (for example, contrast, harmonic content) should be indicated. If features were determined individually for each participant, the criteria and the psychophysical method used should be detailed.	textarea		calibration_procedure	calibration_procedure	23	1	1	1	1	Behavior	calibration procedure			0
What sensory modality were used?			radio_multiple	visual | auditory | somatosensory | olfactory | others	modality_used	modality_used	24	1	1	1	1	Behavior	Task specification	Modality used		0
Visual stimuli: Specify the presentation hardware 			radio	back projection | in­ room display | goggles	visual_stimulus_presentation	visual_stimulus_presentation	25	modality_used.includes(0)	1	1	1	Behavior	Visual Stimulus presentation			0				3
Visual stimuli: Stimuli apparent size	degrees of visual angle | cm | pixels		float		visual_apparent_size	visual_apparent_size	26	modality_used.includes(0)	1	1	1	Behavior	Visual Apparent size			0
Visual stimuli: Viewing distance	meters | cm		float		visual_viewing_distance	visual_viewing_distance	27	modality_used.includes(0)	1	1	1	Behavior	Visual viewing distance			0
Visual stimuli: Clarity		For example, visual contrast, intensity...	textarea		visual_clarity	visual_clarity	28	modality_used.includes(0)	1	1	1	Behavior	Visual clarity			0
Visual stimuli: Color			textarea		visual_color	visual_color	29	modality_used.includes(0)	1	1	1	Behavior	Visual color			0
Visual stimuli: Site of the stimulation			radio	monocular | binocular	visual_site	visual_site	30	modality_used.includes(0)	1	1	1	Behavior	Visual site			0
Visual stimuli: Position in the visual field			radio	full-field | hemifield | quadrant	visual_position	visual_position	31	modality_used.includes(0)	1	1	1	Behavior	Visual position			0
Visual stimuli: Display device and method of projection		- refresh rate  - response time of the monitors.	textarea		visual_display_device	visual_display_device	32	modality_used.includes(0)	1	1	1	Behavior	Visual display device			0
Visual stimuli: Note if differences in intensity or contrast between different stimulus conditions			textarea		visual_other	visual_other	33	modality_used.includes(0)	1	1	1	Behavior	Visual other			0
Audio stimuli: Stimulus properties		For example, frequency content, duration, onset/offset envelope...	textarea		auditory_description	auditory_description	34	modality_used.includes(1)	1	1	1	Behavior	Auditory description			0
Audio stimuli: Intensity		for example, relative to the subject’s individual hearing threshold, or as Sound Pressure Level [dB SPL]	textarea		auditory_intensity	auditory_intensity	35	modality_used.includes(1)	1	1	1	Behavior	Auditory intensity			0
Audio stimuli: Ear of stimulation			radio_multiple	both | right | left	auditory_ear_of_stimulation	auditory_ear_of_stimulation	36	modality_used.includes(1)	1	1	1	Behavior	Auditory ear of stimulation			0
Audio stimuli: Type, manufacturer and model of the delivery device		for example, ear inserts, panel speakers, etc.	textarea		auditory_type	auditory_type	37	modality_used.includes(1)	1	1	1	Behavior	Auditory type			0
