sub_section	preamble	question	unit	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	BIDS_status	BIDS_key_for_unit	BIDS_key	BIDS_file	Change_log
Acquisition software	In this section you will descibe acquisition set-up, which software you have used, impedance upper treschold, what type of online reference, recording channels, VEOG and HEOG and online filters.   NOTE: If you notice a bug, or have a suggestion, we'd be grateful if you posted an issue on GitHub: https://github.com/INCF/artem-is/	What software did you use for the acquisition?			select	preset:meeg_acquisition_softwares	acquisition_software	1	1	1	1	Acquisition	4			SoftwareVersions	*_eeg.json
Acquisition software		Specify software version if applicable, and software name and version if "other" was selected.			text		acquisition_software_details	1	2	1	1	Acquisition	4			SoftwareVersions	*_eeg.json
Data quality		Did you document impedances, or an alternative data aquisition quality measure? 			radio	preset:boolean	acquisition_quality_measure_exists	1	3	1	1	Acquisition	4
Data quality		What is the appropriate acquisition data quality measure for the recording equipment?			radio	impedance upper threshold | impedance range | a data quality measure alternative to impedances	acquisition_quality_measure	acquisition_quality_measure_exists == 1	4	1	1	Acquisition	4			status	*_channels.tsv
Data quality		What was the upper threshold of impedance that was registered in this study?	kilo-ohms		integer		impedance_threshold	acquisition_quality_measure == 0	5	1	1	Acquisition	4
Data quality		What was the lowest impedance registered in this study?	kilo-ohms		integer		impedance_lower_end	acquisition_quality_measure == 1	6	1	1	Acquisition	4
Data quality		What was the highest impedance registered in this study?	kilo-ohms		integer		impedance_higher_end	acquisition_quality_measure == 1	7	1	1	Acquisition	4
Data quality		Report data quality measures provided by the recording system alternative to impedances.			textarea		impedance_alternative	acquisition_quality_measure == 2	8	1	1	Acquisition	4
Online (recording) reference		Was voltage measured relative to an online reference for EEG electrodes (as opposed to alternative solutions such as Driven Right Leg (DRL))?			radio	preset:boolean	online_reference_exists	1	9	1	1	Acquisition	4
Online (recording) reference		Location of the EEG online reference electrode(s)			select	preset:eeg_reference_electrodes	online_reference_type	online_reference_exists == 1	10	1	1	Acquisition	4			EEGReference // reference	*_eeg.json // *_channels.tsv
Online (recording) reference		What alternative to an EEG online reference (for example DRL) was used?			text		alternatives_to_reference	online_reference_exists == 0	11	1	1	Acquisition	4
Online (recording) reference		EEG online reference location other than listed			text		online_reference_type_other	online_reference_type == 9	12	1	1	Acquisition	4
Online (recording) reference		Location of the ground electrode during recording			text		location_ground	online_reference_exists == 1	13	1	1	Acquisition	4			EEGGround	*_eeg.json
